,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
17057,129043,129044,〔6585｜7｜3｜16〕,<H>גֹּ֣מֶד<h><H> <h>,1574,
44505,329542,329543,〔15710｜19｜107｜10〕,<H>חֹ֣שֶׁךְ<h><H> <h>,2822,חשׁכ
21258,167145,167146,〔8320｜10｜13｜2〕,<H>אֲחֹתֹ֔ו<h><H> <h>,269,
22087,173867,173868,〔8587｜10｜21｜6〕,<H>מֶּ֖לֶךְ<h><H> <h>,4428,מלכ
56464,404631,404632,〔11101｜13｜26｜23〕,<H>חֶבְרֹונִ֖י<h><H> <h>,2276,
33927,264519,264520,〔20302｜24｜52｜25〕,<H>אֲנָשִׁ֜ים<h><H> <h>,582,אנשׁ
31547,245168,245169,〔19450｜24｜21｜9〕,<H>רָעָ֣ב<h><H> <h>,7458,רעב
2866,23555,23556,〔1260｜1｜42｜7〕,<H>אֶ֥רֶץ<h><H> <h>,776,ארצ
7272,53924,53925,〔2815｜3｜4｜19〕,<H>חֶלְבֹּ֖ו<h><H> <h>,2459,
26618,211741,211742,〔10241｜12｜25｜18〕,<H>סַּֽף<h><H>׃ <h>,5592,
46692,342617,342618,〔13508｜18｜28｜3〕,<H>צַלְמָֽוֶת<h><H>׃ <h>,6757,
628,3825,3826,〔197｜1｜8｜13〕,<H>תֵּבָ֔ה<h><H> <h>,8392,
48080,350365,350366,〔16771｜20｜13｜23〕,<H>נִ֣יר<h><H> <h>,5215,
12159,88440,88441,〔4642｜4｜29｜33〕,<H>כְּבָשִׂ֛ים<h><H> <h>,3532,
13723,101012,101013,〔5272｜5｜12｜31〕,<H>אֵ֖שׁ<h><H> <h>,784,אשׁ
35026,272045,272046,〔20819｜26｜16｜56〕,<H>אֲחֹותֵ֔ךְ<h><H> <h>,269,
16392,122576,122577,〔6285｜6｜17｜9〕,<H>גְּבוּל֩<h><H> <h>,1366,גבל
47719,348472,348473,〔16566｜20｜6｜25〕,<H>תַּחְמֹ֣ד<h><H> <h>,2530,
37213,285672,285673,〔21510｜26｜40｜32〕,<H>קָּדִ֑ים<h><H> <h>,6921,קדמ
21142,166103,166104,〔8277｜10｜11｜17〕,<H>אַנְשֵׁ֤י<h><H> <h>,582,אנשׁ
5820,45808,45809,〔2399｜2｜30｜16〕,<H>מֹועֵ֑ד<h><H> <h>,4150,יעד
26581,211503,211504,〔10231｜12｜25｜8〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
48046,350162,350163,〔16748｜20｜12｜28〕,<H>דֶ֖רֶךְ<h><H> <h>,1870,דרכ
58161,417104,417105,〔11638｜14｜21｜13〕,<H>אַחֶ֧יךָ<h><H> <h>,251,
29101,227712,227713,〔18553｜23｜44｜19〕,<H>תֹועֵבָ֣ה<h><H> <h>,8441,תעב
3739,30448,30449,〔1616｜2｜4｜14〕,<H>אָחִ֨יךָ֙<h><H> <h>,251,
22309,175496,175497,〔8696｜10｜24｜3〕,<H>מֶּ֖לֶךְ<h><H> <h>,4428,מלכ
20186,157179,157180,〔7891｜9｜25｜29〕,<H>נֶ֤פֶשׁ<h><H> <h>,5315,נפשׁ
29828,232443,232444,〔18814｜23｜59｜13〕,<H>עֹ֣שֶׁק<h><H> <h>,6233,עשׁק
26019,206796,206797,〔10039｜12｜18｜14〕,<H>מֶֽלֶךְ<h><H>־<h>,4428,מלכ
23567,184692,184693,〔9095｜11｜10｜15〕,<H>פַחֹ֥ות<h><H> <h>,6346,
53461,379927,379928,〔12131｜15｜4｜20〕,<H>כֹ֖ל<h><H> <h>,3606,
39975,302273,302274,〔22738｜35｜1｜6〕,<H>אֶ֔רֶץ<h><H> <h>,776,ארצ
28127,221282,221283,〔18192｜23｜28｜27〕,<H>אֹופַ֣ן<h><H> <h>,212,
44352,328636,328637,〔15615｜19｜105｜8〕,<H>עֹולָ֣ם<h><H> <h>,5769,עלמ
56686,405967,405968,〔11162｜13｜28｜18〕,<H>קְּטֹ֛רֶת<h><H> <h>,7004,
6455,49879,49880,〔2603｜2｜36｜36〕,<H>עַמּוּדֵ֣י<h><H> <h>,5982,עמד
46364,340705,340706,〔13307｜18｜19｜9〕,<H>רֹאשִֽׁי<h><H>׃ <h>,7218,ראשׁ
31116,241576,241577,〔19287｜24｜13｜20〕,<H>צָּפֹ֑ון<h><H> <h>,6828,צפנ
23668,185134,185135,〔9116｜11｜11｜7〕,<H>שִׁקֻּ֣ץ<h><H> <h>,8251,שׁקצ
13141,96646,96647,〔5074｜5｜5｜20〕,<H>שָֽׁוְא<h><H>׃ ס <h>,7723,
30114,234165,234166,〔18910｜23｜65｜12〕,<H>חֶ֗רֶב<h><H> <h>,2719,חרב
57527,411410,411411,〔11381｜14｜9｜16〕,<H>זָהָ֔ב<h><H> <h>,2091,זהב
57011,407833,407834,〔11235｜14｜3｜5〕,<H>בְּרֹושִׁ֔ים<h><H> <h>,1265,
16563,124064,124065,〔6371｜6｜19｜49〕,<H>נַחֲלָ֛ה<h><H> <h>,5159,נחל
58240,417890,417891,〔11667｜14｜23｜10〕,<H>מֶּ֖לֶךְ<h><H> <h>,4428,מלכ
23481,184176,184177,〔9073｜11｜9｜21〕,<H>אָ֔רֶץ<h><H> <h>,776,ארצ
5845,45935,45936,〔2406｜2｜30｜23〕,<H>מָאתָֽיִם<h><H>׃ <h>,3967,
32313,251675,251676,〔19741｜24｜32｜9〕,<H>כֶּ֔סֶף<h><H> <h>,3701,כספ
5585,44423,44424,〔2332｜2｜28｜38〕,<H>מִצְחֹו֙<h><H> <h>,4696,
32642,254539,254540,〔19855｜24｜36｜12〕,<H>שָׁפָ֛ן<h><H> <h>,8227,שׂפנ
43262,322602,322603,〔15030｜19｜73｜9〕,<H>לְשֹׁונָ֗ם<h><H> <h>,3956,
13127,96555,96556,〔5068｜5｜5｜14〕,<H>אֲמָתֶךָ<h><H> <h>,519,
383,2302,2303,〔119｜1｜5｜13〕,<H>מֵאֹ֖ות<h><H> <h>,3967,
54233,384179,384180,〔12326｜16｜2｜18〕,<H>מֶּ֖לֶךְ<h><H> <h>,4428,מלכ
23603,184845,184846,〔9102｜11｜10｜22〕,<H>זָהָ֣ב<h><H> <h>,2091,זהב
54787,388265,388266,〔12534｜16｜9｜22〕,<H>פֵאָ֑ה<h><H> <h>,6285,
35300,273981,273982,〔20917｜26｜20｜21〕,<H>אָדָם֙<h><H> <h>,120,אדמ
13913,102345,102346,〔5337｜5｜15｜17〕,<H>עֹולָ֑ם<h><H> <h>,5769,עלמ
25613,202836,202837,〔9862｜12｜12｜11〕,<H>חָרָשֵׁ֤י<h><H> <h>,2796,חרשׁ
25427,201175,201176,〔9797｜12｜10｜3〕,<H>אֲדֹנֵיכֶ֔ם<h><H> <h>,113,אדנ
8188,60323,60324,〔3118｜3｜14｜6〕,<H>שְּׁחֻטָ֔ה<h><H> <h>,7819,
10566,75291,75292,〔3944｜4｜8｜4〕,<H>מְּנֹרָה֙<h><H> <h>,4501,
46947,344006,344007,〔13647｜18｜32｜18〕,<H>בִּטְנִֽי<h><H>׃ <h>,990,
14104,103535,103536,〔5390｜5｜18｜5〕,<H>שְׁבָטֶ֑יךָ<h><H> <h>,7626,שׁבט
1789,14018,14019,〔751｜1｜27｜23〕,<H>אָחִ֖יו<h><H> <h>,251,
45395,334598,334599,〔16267｜19｜140｜3〕,<H>נָ֫חָ֥שׁ<h><H> <h>,5175,נחשׁ
10151,73494,73495,〔3830｜4｜6｜6〕,<H>נֶ֥פֶשׁ<h><H> <h>,5315,נפשׁ
6554,50386,50387,〔2631｜2｜37｜26〕,<H>זָהָ֖ב<h><H> <h>,2091,זהב
55006,390066,390067,〔12652｜16｜12｜27〕,<H>כִנֹּרֹֽות<h><H>׃ <h>,3658,
14725,108175,108176,〔5617｜5｜28｜5〕,<H>טַנְאֲךָ֖<h><H> <h>,2935,
29831,232458,232459,〔18815｜23｜59｜14〕,<H>צְדָקָ֖ה<h><H> <h>,6666,צדק
58680,421649,421650,〔11822｜14｜29｜30〕,<H>מֶּ֤לֶךְ<h><H> <h>,4428,מלכ
50761,366260,366261,〔12734｜17｜2｜9〕,<H>נַעֲרֹותֶ֛יהָ<h><H> <h>,5291,
7559,55769,55770,〔2905｜3｜7｜25〕,<H>חֵ֔לֶב<h><H> <h>,2459,
52632,374792,374793,〔21944｜27｜7｜10〕,<QR><H>רִבְבָ֖ן<h><H> <h><qr>,7240,
54021,382453,382454,〔12245｜15｜9｜7〕,<H>אֲרָצֹ֗ות<h><H> <h>,776,ארצ
40789,308024,308025,〔23030｜38｜11｜1〕,<H>דְּלָתֶ֑יךָ<h><H> <h>,1817,
10295,74293,74294,〔3876｜4｜7｜25〕,<H>שְׁלֹשִׁ֣ים<h><H> <h>,7970,שׁלשׁ
14597,107162,107163,〔5568｜5｜26｜1〕,<H>אָ֔רֶץ<h><H> <h>,776,ארצ
56467,404666,404667,〔11104｜13｜26｜26〕,<H>אֶחָ֗יו<h><H> <h>,251,
45626,335809,335810,〔16380｜19｜148｜8〕,<H>שֶׁ֣לֶג<h><H> <h>,7950,
12925,94905,94906,〔4994｜5｜3｜18〕,<H>אֲחֵיכֶ֥ם<h><H> <h>,251,
39704,300780,300781,〔22644｜33｜5｜10〕,<H>נְאֻם<h><H>־<h>,5002,נאמ
21082,165420,165421,〔8247｜10｜10｜6〕,<H>אִ֣ישׁ<h><H> <h>,376,אנשׁ
25351,200453,200454,〔9767｜12｜9｜10〕,<H>דֶּ֖לֶת<h><H> <h>,1817,
33128,259153,259154,〔20028｜24｜44｜17〕,<H>נְסָכִים֒<h><H> <h>,5262,נסכ
29949,233135,233136,〔18851｜23｜61｜7〕,<H>כְלִמָּ֖ה<h><H> <h>,3639,כלמ
17466,132498,132499,〔6737｜7｜8｜17〕,<H>מִגְדַּ֥ל<h><H> <h>,4026,
25088,198290,198291,〔9683｜12｜6｜8〕,<H>עֲבָדָ֣יו<h><H> <h>,5650,עבד
29800,232281,232282,〔18806｜23｜59｜5〕,<H>צִפְעֹונִי֙<h><H> <h>,6848,
49339,357764,357765,〔17553｜22｜1｜15〕,<H>רַעְיָתִ֔י<h><H> <h>,7474,
23073,181200,181201,〔8952｜11｜7｜17〕,<H>שַׁרְשְׁרֹ֔ות<h><H> <h>,8333,שׁרשׁ
54895,389113,389114,〔12587｜16｜10｜37〕,<H>עֲרִיסֹתֵ֣ינוּ<h><H> <h>,6182,
25771,204336,204337,〔9931｜12｜15｜5〕,<H>מֶּ֗לֶךְ<h><H> <h>,4428,מלכ
47272,345907,345908,〔13844｜18｜39｜9〕,<H>אֲבוּסֶֽךָ<h><H>׃ <h>,18,אבס
54516,386279,386280,〔12418｜16｜6｜16〕,<H>מְּלָאכָ֥ה<h><H> <h>,4399,מלאכ
35165,273034,273035,〔20869｜26｜18｜19〕,<H>מִשְׁפָּ֧ט<h><H> <h>,4941,שׁפט
12560,91690,91691,〔4834｜4｜34｜17〕,<H>כֹּהֵ֔ן<h><H> <h>,3548,כהנ
40544,306093,306094,〔22934｜38｜4｜11〕,<H>מְּנֹורָ֖ה<h><H> <h>,4501,
58848,422908,422909,〔11870｜14｜31｜15〕,<H>אֲחֵיהֶם֙<h><H> <h>,251,
39477,299040,299041,〔22556｜32｜2｜7〕,<H>הֵיכַ֖ל<h><H> <h>,1964,יכל
48623,353054,353055,〔17051｜20｜23｜6〕,<H>מַטְעַמֹּתָֽיו<h><H>׃ <h>,4303,טעמ
27457,217095,217096,〔17948｜23｜14｜19〕,<H>חָ֑רֶב<h><H> <h>,2719,חרב
33756,263336,263337,〔20247｜24｜51｜34〕,<H>מֶ֣לֶךְ<h><H> <h>,4428,מלכ
58292,418363,418364,〔11685｜14｜24｜7〕,<H>קָדְשֵׁ֣י<h><H> <h>,6944,קדשׁ
18137,138583,138584,〔7005｜7｜18｜11〕,<H>מִלְחָמָֽה<h><H>׃ <h>,4421,לחמ
58332,418591,418592,〔11693｜14｜24｜15〕,<H>שְׁלֹשִׁ֛ים<h><H> <h>,7970,שׁלשׁ
38830,294677,294678,〔22329｜29｜2｜17〕,<H>גֹּויִ֔ם<h><H> <h>,1471,
20316,158277,158278,〔7934｜9｜27｜3〕,<H>אֵֽשֶׁת<h><H>־<h>,802,אישׁ
55906,399877,399878,〔10842｜13｜16｜21〕,<H>מְלָכִֽים<h><H>׃ <h>,4428,מלכ
17052,129022,129023,〔6584｜7｜3｜15〕,<H>יְמִינֹ֑ו<h><H> <h>,3225,ימנ
20607,161065,161066,〔8055｜10｜2｜5〕,<H>חֶ֣סֶד<h><H> <h>,2617,חסד
25933,205920,205921,〔10000｜12｜17｜16〕,<H>מַסֵּכָ֖ה<h><H> <h>,4541,נסכ
34327,267310,267311,〔20589｜26｜7｜11〕,<H>נֹ֥הַּ<h><H> <h>,5089,
23661,185079,185080,〔9113｜11｜11｜4〕,<H>זִקְנַ֣ת<h><H> <h>,2209,
25610,202821,202822,〔9862｜12｜12｜11〕,<H>כֶּ֣סֶף<h><H> <h>,3701,כספ
8659,63497,63498,〔3261｜3｜18｜9〕,<H>אֲחֹֽותְךָ֤<h><H> <h>,269,
34558,268758,268759,〔20652｜26｜10｜18〕,<H>כְּרוּבִֽים<h><H>׃ <h>,3742,
5518,44118,44119,〔2318｜2｜28｜24〕,<H>זָּהָ֔ב<h><H> <h>,2091,זהב
36659,282059,282060,〔21340｜26｜34｜26〕,<H>בְרָכָ֖ה<h><H> <h>,1293,ברכ
14835,109020,109021,〔5661｜5｜28｜49〕,<H>לְשֹׁנֹֽו<h><H>׃ <h>,3956,
5547,44255,44256,〔2324｜2｜28｜30〕,<H>מִּשְׁפָּ֗ט<h><H> <h>,4941,שׁפט
52178,373117,373118,〔21874｜27｜4｜36〕,<H>זִוִי֙<h><H> <h>,2122,
7549,55710,55711,〔2901｜3｜7｜21〕,<H>שֶׁ֣קֶץ<h><H> <h>,8263,שׁקצ
39043,296141,296142,〔22407｜30｜3｜11〕,<H>אַרְמְנֹותָֽיִךְ<h><H>׃ <h>,759,
41288,311634,311635,〔14030｜19｜9｜8〕,<H>תֵּבֵ֥ל<h><H> <h>,8398,יבל
673,4104,4105,〔210｜1｜9｜4〕,<H>נַפְשֹׁ֥ו<h><H> <h>,5315,נפשׁ
36352,280037,280038,〔21245｜26｜31｜14〕,<H>צַמַּרְתָּם֙<h><H> <h>,6788,
48232,351119,351120,〔16853｜20｜16｜12〕,<H>תֹּועֲבַ֣ת<h><H> <h>,8441,תעב
12356,89682,89683,〔4708｜4｜31｜43〕,<H>אֲלָפִ֖ים<h><H> <h>,505,אלפ
11901,86999,87000,〔4559｜4｜27｜4〕,<H>אֲחֵ֥י<h><H> <h>,251,
34606,269099,269100,〔20671｜26｜11｜15〕,<H>אַחֶ֨יךָ֙<h><H> <h>,251,
55496,396333,396334,〔10638｜13｜9｜22〕,<H>מָאתַ֖יִם<h><H> <h>,3967,
15134,111704,111705,〔5779｜5｜32｜20〕,<H>תַּהְפֻּכֹת֙<h><H> <h>,8419,הפכ
35642,276069,276070,〔21031｜26｜23｜23〕,<H>סְגָנִים֙<h><H> <h>,5461,
44731,330904,330905,〔15852｜19｜116｜3〕,<H>מְצָרֵ֣י<h><H> <h>,4712,
7044,52674,52675,〔2755｜3｜1｜9〕,<H>מָּ֑יִם<h><H> <h>,4325,
14491,106439,106440,〔5530｜5｜24｜4〕,<H>אָ֔רֶץ<h><H> <h>,776,ארצ
26182,207845,207846,〔10083｜12｜19｜21〕,<H>בְּתוּלַת֙<h><H> <h>,1330,
9949,72236,72237,〔3767｜4｜4｜23〕,<H>אֹ֥הֶל<h><H> <h>,168,אהל
55418,395225,395226,〔10552｜13｜7｜16〕,<H>אָחִ֖יו<h><H> <h>,251,
21230,166866,166867,〔8307｜10｜12｜20〕,<H>לֶ֖חֶם<h><H> <h>,3899,לחמ
50490,364858,364859,〔20409｜25｜3｜54〕,<H>מַ֥יִם<h><H> <h>,4325,
9041,66023,66024,〔3409｜3｜23｜6〕,<H>חֹ֣דֶשׁ<h><H> <h>,2320,חדשׁ
40263,303882,303883,〔22829｜36｜3｜8〕,<H>אֵ֣שׁ<h><H> <h>,784,אשׁ
30505,237094,237095,〔19059｜24｜4｜31〕,<H>צָרָה֙<h><H> <h>,6869,
26587,211573,211574,〔10235｜12｜25｜12〕,<H>דַּלַּ֣ת<h><H> <h>,1803,
56549,405078,405079,〔11121｜13｜27｜11〕,<H>זַּרְחִ֑י<h><H> <h>,2227,
56418,404246,404247,〔11075｜13｜25｜28〕,<H>אֶחָ֖יו<h><H> <h>,251,
53493,380071,380072,〔12138｜15｜5｜3〕,<H>פַּחַ֧ת<h><H> <h>,6347,
13050,95934,95935,〔5038｜5｜4｜33〕,<H>אֵ֛שׁ<h><H> <h>,784,אשׁ
35261,273668,273669,〔20902｜26｜20｜6〕,<H>אֲרָצֹֽות<h><H>׃ <h>,776,ארצ
17105,129427,129428,〔6603｜7｜4｜3〕,<H>מֵאֹ֤ות<h><H> <h>,3967,
25323,200152,200153,〔9754｜12｜8｜26〕,<H>מֶ֥לֶךְ<h><H> <h>,4428,מלכ
29876,232776,232777,〔18832｜23｜60｜10〕,<H>חֹמֹתַ֔יִךְ<h><H> <h>,2346,
33447,261459,261460,〔20146｜24｜49｜18〕,<H>אָדָֽם<h><H>׃ <h>,120,אדמ
10398,74644,74645,〔3901｜4｜7｜50〕,<H>קְטֹֽרֶת<h><H>׃ <h>,7004,
41665,313772,313773,〔14226｜19｜22｜21〕,<H>רֵמִ֣ים<h><H> <h>,7214,ראמ
50242,363407,363408,〔17532｜21｜12｜8〕,<H>קֹּוהֶ֖לֶת<h><H> <h>,6953,קהל
43342,322956,322957,〔15066｜19｜74｜17〕,<H>חֹ֗רֶף<h><H> <h>,2779,חרפ
46425,341081,341082,〔13347｜18｜20｜20〕,<H>בִטְנֹ֑ו<h><H> <h>,990,
19625,152036,152037,〔7671｜9｜17｜52〕,<H>דֶ֣רֶךְ<h><H> <h>,1870,דרכ
19221,148144,148145,〔7501｜9｜13｜15〕,<H>אִֽישׁ<h><H>׃ <h>,376,אנשׁ
18594,142062,142063,〔7239｜9｜1｜26〕,<H>אֲדֹנִ֑י<h><H> <h>,113,אדנ
29997,233367,233368,〔18863｜23｜62｜8〕,<H>ימִינֹ֖ו<h><H> <h>,3225,ימנ
57856,414225,414226,〔11512｜14｜16｜2〕,<H>כֶּ֣סֶף<h><H> <h>,3701,כספ
505,3153,3154,〔166｜1｜7｜6〕,<H>אָֽרֶץ<h><H>׃ <h>,776,ארצ
12153,88417,88418,〔4641｜4｜29｜32〕,<H>פָּרִ֥ים<h><H> <h>,6499,
20114,156722,156723,〔7873｜9｜25｜11〕,<H>טִבְחָתִ֔י<h><H> <h>,2878,
7323,54249,54250,〔2830｜3｜4｜34〕,<H>יְסֹ֖וד<h><H> <h>,3247,יסד
48183,350888,350889,〔16828｜20｜15｜20〕,<H>כְסִ֥יל<h><H> <h>,3684,כסל
57676,412754,412755,〔11445｜14｜12｜7〕,<H>פְלֵיטָ֔ה<h><H> <h>,6413,
26423,210156,210157,〔10177｜12｜23｜11〕,<H>אֵֽשׁ<h><H>׃ <h>,784,אשׁ
20734,162505,162506,〔8117｜10｜3｜35〕,<H>מְאֽוּמָה<h><H>׃ <h>,3972,
50445,364546,364547,〔20368｜25｜3｜13〕,<H>אַשְׁפָּתֹֽו<h><H>׃ <h>,827,
37740,288614,288615,〔21638｜26｜45｜7〕,<H>פְּאַת<h><H>־<h>,6285,
17736,135314,135315,〔6867｜7｜11｜37〕,<QR><H>רֵעֹותָֽי<h><H>׃<h><qr>,7474,
48016,350025,350026,〔16733｜20｜12｜13〕,<H>צָּרָ֣ה<h><H> <h>,6869,
21223,166809,166810,〔8305｜10｜12｜18〕,<H>יֶּ֖לֶד<h><H> <h>,3206,ילד
37314,286347,286348,〔21538｜26｜41｜11〕,<H>רֹ֨חַב֙<h><H> <h>,7341,רחב
46296,340355,340356,〔13268｜18｜17｜7〕,<H>כַּ֣עַשׂ<h><H> <h>,3708,כעס
6489,50030,50031,〔2612｜2｜37｜7〕,<H>כְרֻבִ֖ים<h><H> <h>,3742,
7130,53192,53193,〔2781｜3｜3｜2〕,<H>כֹּהֲנִ֧ים<h><H> <h>,3548,כהנ
6583,50560,50561,〔2641｜2｜38｜7〕,<H>לֻחֹ֖ת<h><H> <h>,3871,
58454,419778,419779,〔11743｜14｜26｜10〕,<H>שְּׁפֵלָ֖ה<h><H> <h>,8219,שׁפל
34181,266347,266348,〔20544｜26｜4｜14〕,<H>טְרֵפָ֤ה<h><H> <h>,2966,
28590,224062,224063,〔18344｜23｜36｜13〕,<H>מֶ֥לֶךְ<h><H> <h>,4428,מלכ
46056,338726,338727,〔13102｜18｜10｜15〕,<H>רֹאשִׁ֑י<h><H> <h>,7218,ראשׁ
34356,267492,267493,〔20598｜26｜7｜20〕,<H>תֹועֲבֹתָ֛ם<h><H> <h>,8441,תעב
27271,215946,215947,〔17875｜23｜10｜24〕,<H>דֶ֥רֶךְ<h><H> <h>,1870,דרכ
40631,306775,306776,〔22968｜38｜7｜5〕,<H>אָ֔רֶץ<h><H> <h>,776,ארצ
48593,352845,352846,〔17031｜20｜22｜15〕,<H>שֵׁ֥בֶט<h><H> <h>,7626,שׁבט
37189,285553,285554,〔21504｜26｜40｜26〕,<H>תִמֹרִ֣ים<h><H> <h>,8561,
28214,221921,221922,〔18225｜23｜30｜7〕,<H>שָֽׁבֶת<h><H>׃ <h>,7674,שׁבת
2438,20227,20228,〔1088｜1｜37｜4〕,<H>אֶחָ֗יו<h><H> <h>,251,
21751,171168,171169,〔8483｜10｜18｜4〕,<H>אֲלָפִֽים<h><H>׃ <h>,505,אלפ
2219,18051,18052,〔961｜1｜32｜32〕,<H>גִּ֣יד<h><H> <h>,1517,
2005,16194,16195,〔866｜1｜30｜35〕,<H>כְּשָׂבִ֑ים<h><H> <h>,3775,
50440,364514,364515,〔20364｜25｜3｜9〕,<H>דְּרָכַי֙<h><H> <h>,1870,דרכ
58020,415675,415676,〔11577｜14｜18｜34〕,<H>מֶ֣לֶךְ<h><H> <h>,4428,מלכ
7697,56730,56731,〔2948｜3｜8｜30〕,<H>בְּגָדָ֔יו<h><H> <h>,899,בגד
51021,367905,367906,〔12794｜17｜5｜14〕,<H>מֶּ֗לֶךְ<h><H> <h>,4428,מלכ
24837,196240,196241,〔9596｜12｜3｜19〕,<H>מַ֖יִם<h><H> <h>,4325,
58571,420618,420619,〔11778｜14｜28｜13〕,<H>שִּׁבְיָה֙<h><H> <h>,7633,
35991,278066,278067,〔21139｜26｜27｜17〕,<H>חִטֵּ֣י<h><H> <h>,2406,
48355,351713,351714,〔16913｜20｜18｜11〕,<H>חֹומָ֥ה<h><H> <h>,2346,
10812,77626,77627,〔4063｜4｜12｜3〕,<QR><H>עָנָ֣יו<h><H> <h><qr>,6035,
35613,275925,275926,〔21023｜26｜23｜15〕,<H>אֵזֹ֜ור<h><H> <h>,232,
48515,352472,352473,〔16992｜20｜21｜7〕,<H>מִשְׁפָּֽט<h><H>׃ <h>,4941,שׁפט
53400,379698,379699,〔12121｜15｜4｜10〕,<H>שְׁאָ֣ר<h><H> <h>,7606,
