,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
48623,353054,353055,〔17051｜20｜23｜6〕,<H>מַטְעַמֹּתָֽיו<h><H>׃ <h>,4303,טעמ
38830,294677,294678,〔22329｜29｜2｜17〕,<H>גֹּויִ֔ם<h><H> <h>,1471,
34327,267310,267311,〔20589｜26｜7｜11〕,<H>נֹ֥הַּ<h><H> <h>,5089,
34558,268758,268759,〔20652｜26｜10｜18〕,<H>כְּרוּבִֽים<h><H>׃ <h>,3742,
36352,280037,280038,〔21245｜26｜31｜14〕,<H>צַמַּרְתָּם֙<h><H> <h>,6788,
7044,52674,52675,〔2755｜3｜1｜9〕,<H>מָּ֑יִם<h><H> <h>,4325,
26182,207845,207846,〔10083｜12｜19｜21〕,<H>בְּתוּלַת֙<h><H> <h>,1330,
26587,211573,211574,〔10235｜12｜25｜12〕,<H>דַּלַּ֣ת<h><H> <h>,1803,
56549,405078,405079,〔11121｜13｜27｜11〕,<H>זַּרְחִ֑י<h><H> <h>,2227,
53493,380071,380072,〔12138｜15｜5｜3〕,<H>פַּחַ֧ת<h><H> <h>,6347,
12153,88417,88418,〔4641｜4｜29｜32〕,<H>פָּרִ֥ים<h><H> <h>,6499,
20734,162505,162506,〔8117｜10｜3｜35〕,<H>מְאֽוּמָה<h><H>׃ <h>,3972,
50445,364546,364547,〔20368｜25｜3｜13〕,<H>אַשְׁפָּתֹֽו<h><H>׃ <h>,827,
37740,288614,288615,〔21638｜26｜45｜7〕,<H>פְּאַת<h><H>־<h>,6285,
48016,350025,350026,〔16733｜20｜12｜13〕,<H>צָּרָ֣ה<h><H> <h>,6869,
2219,18051,18052,〔961｜1｜32｜32〕,<H>גִּ֣יד<h><H> <h>,1517,
2005,16194,16195,〔866｜1｜30｜35〕,<H>כְּשָׂבִ֑ים<h><H> <h>,3775,
58571,420618,420619,〔11778｜14｜28｜13〕,<H>שִּׁבְיָה֙<h><H> <h>,7633,
35991,278066,278067,〔21139｜26｜27｜17〕,<H>חִטֵּ֣י<h><H> <h>,2406,
16440,122961,122962,〔6300｜6｜18｜6〕,<H>גֹּורָל֙<h><H> <h>,1486,
45932,337737,337738,〔12997｜18｜6｜18〕,<H>תֹּ֣הוּ<h><H> <h>,8414,
23478,184156,184157,〔9072｜11｜9｜20〕,<H>חִתִּ֤י<h><H> <h>,2850,
32474,253108,253109,〔19801｜24｜33｜25〕,<H>חֻקֹּ֛ות<h><H> <h>,2708,
7853,58074,58075,〔3011｜3｜11｜13〕,<H>נֶּ֨שֶׁר֙<h><H> <h>,5404,
49562,358669,358670,〔17615｜22｜5｜16〕,<H>חִכֹּו֙<h><H> <h>,2441,חנכ
46024,338499,338500,〔13078｜18｜9｜26〕,<H>אֳנִיֹּ֣ות<h><H> <h>,591,
37426,286921,286922,〔21565｜26｜42｜12〕,<H>לְּשָׁכֹ֗ות<h><H> <h>,3957,
46422,341053,341054,〔13344｜18｜20｜17〕,<H>דְּבַ֣שׁ<h><H> <h>,1706,
5560,44326,44327,〔2327｜2｜28｜33〕,<H>שׁוּלָ֖יו<h><H> <h>,7757,
23667,185131,185132,〔9116｜11｜11｜7〕,<H>בָּמָ֗ה<h><H> <h>,1116,
7871,58152,58153,〔3017｜3｜11｜19〕,<H>דּוּכִיפַ֖ת<h><H> <h>,1744,
49594,358850,358851,〔17627｜22｜6｜12〕,<H>מַרְכְּבֹ֖ות<h><H> <h>,4818,
39413,298431,298432,〔22527｜31｜1｜16〕,<H>גֹּויִ֖ם<h><H> <h>,1471,
51893,372024,372025,〔21827｜27｜3｜19〕,<H>אַנְפֹּ֨והִי֙<h><H> <h>,600,
54678,387456,387457,〔12504｜16｜8｜10〕,<H>מַֽמְתַקִּ֗ים<h><H> <h>,4477,
50658,365678,365679,〔12713｜17｜1｜10〕,<H>סָּ֣רִיסִ֔ים<h><H> <h>,5631,
5988,46870,46871,〔2455｜2｜32｜16〕,<H>לֻּחֹֽת<h><H>׃ <h>,3871,
19517,151051,151052,〔7632｜9｜17｜13〕,<H>מִּלְחָמָ֔ה<h><H> <h>,4421,לחמ
14363,105637,105638,〔5490｜5｜22｜19〕,<H>אִשָּׁ֔ה<h><H> <h>,802,אישׁ
20358,158658,158659,〔7950｜9｜28｜7〕,<H>בַּֽעֲלַת<h><H>־<h>,1172,
40590,306431,306432,〔22951｜38｜6｜3〕,<H>מֶּרְכָּבָה֙<h><H> <h>,4818,
12142,88369,88370,〔4638｜4｜29｜29〕,<H>פָּרִ֥ים<h><H> <h>,6499,
55019,390240,390241,〔12662｜16｜12｜37〕,<H>מַּ֖יִם<h><H> <h>,4325,
17677,134513,134514,〔6832｜7｜11｜2〕,<H>אִשָּׁ֥ה<h><H> <h>,802,אישׁ
17132,129649,129650,〔6613｜7｜4｜13〕,<H>בַּרְזֶ֔ל<h><H> <h>,1270,
35740,276667,276668,〔21063｜26｜24｜6〕,<H>חֶ֨לְאָתָ֔הּ<h><H> <h>,2457,
13921,102424,102425,〔5341｜5｜15｜21〕,<H>מ֗וּם<h><H> <h>,3971,
47750,348622,348623,〔16581｜20｜7｜5〕,<H>אִשָּׁ֣ה<h><H> <h>,802,אישׁ
57128,408422,408423,〔11261｜14｜4｜14〕,<H>מְּכֹנֹֽות<h><H>׃ <h>,4350,
32288,251442,251443,〔19732｜24｜31｜40〕,<H>פִּנַּ֨ת<h><H> <h>,6438,
40151,303315,303316,〔22800｜36｜1｜12〕,<H>נֵּרֹ֑ות<h><H> <h>,5216,
50045,362028,362029,〔17467｜21｜8｜8〕,<H>מִּלְחָמָ֑ה<h><H> <h>,4421,לחמ
8096,59712,59713,〔3091｜3｜13｜38〕,<H>בֶּהָרֹ֑ת<h><H> <h>,934,
51970,372379,372380,〔21841｜27｜4｜3〕,<H>מַלְכ֣וּת<h><H> <h>,4437,
1234,9152,9153,〔492｜1｜19｜34〕,<H>מָּחֳרָ֔ת<h><H> <h>,4283,
53043,377438,377439,〔22062｜27｜11｜25〕,<H>כֹּחֹ֨ו<h><H> <h>,3581,
13372,98336,98337,〔5156｜5｜8｜18〕,<H>כֹּ֖חַ<h><H> <h>,3581,
23152,181625,181626,〔8969｜11｜7｜34〕,<H>כְּתֵפֹ֔ות<h><H> <h>,3802,
9315,67620,67621,〔3496｜3｜25｜26〕,<H>גְאֻלָּתֹֽו<h><H>׃ <h>,1353,גאל
57918,414826,414827,〔11538｜14｜17｜14〕,<H>פְקֻדָּתָ֖ם<h><H> <h>,6486,פקד
13472,99228,99229,〔5192｜5｜10｜5〕,<H>לֻּחֹ֔ת<h><H> <h>,3871,
40978,309368,309369,〔23087｜38｜14｜18〕,<H>גֹּויִ֔ם<h><H> <h>,1471,
53578,380421,380422,〔12152｜15｜5｜17〕,<H>רְע֥וּת<h><H> <h>,7470,
40859,308485,308486,〔23052｜38｜12｜6〕,<H>כִיֹּ֧ור<h><H> <h>,3595,
43096,321678,321679,〔14941｜19｜69｜5〕,<H>אִוַּלְתִּ֑י<h><H> <h>,200,
5683,44933,44934,〔2357｜2｜29｜20〕,<H>בֹּ֤הֶן<h><H> <h>,931,
44116,327267,327268,〔15484｜19｜97｜5〕,<H>דֹּונַ֗ג<h><H> <h>,1749,
10742,76883,76884,〔4030｜4｜11｜5〕,<H>אֲבַטִּחִ֔ים<h><H> <h>,20,
49227,356795,356796,〔7175｜8｜3｜2〕,<H>גֹּ֥רֶן<h><H> <h>,1637,
35626,275990,275991,〔21026｜26｜23｜18〕,<H>אֲחֹותָֽהּ<h><H>׃ <h>,269,
45918,337672,337673,〔12990｜18｜6｜11〕,<H>כֹּחִ֥י<h><H> <h>,3581,
39864,301722,301723,〔22704｜34｜2｜4〕,<H>לַּפִּידִ֔ם<h><H> <h>,3940,
48672,353441,353442,〔17090｜20｜24｜10〕,<H>כֹּחֶֽכָה<h><H>׃ <h>,3581,
9341,67779,67780,〔3503｜3｜25｜33〕,<H>אֲחֻזָּתָ֔ם<h><H> <h>,272,אחז
47624,348012,348013,〔16517｜20｜4｜26〕,<H>מַעְגַּ֣ל<h><H> <h>,4570,
38542,292883,292884,〔22216｜28｜9｜7〕,<H>פְּקֻדָּ֗ה<h><H> <h>,6486,פקד
57843,414154,414155,〔11508｜14｜15｜17〕,<H>בָּמֹ֔ות<h><H> <h>,1116,
21261,167157,167158,〔8320｜10｜13｜2〕,<H>מְאֽוּמָה<h><H>׃ <h>,3972,
55937,400094,400095,〔10858｜13｜16｜37〕,<H>תָּמִ֖יד<h><H> <h>,8548,
15016,110712,110713,〔5732｜5｜31｜3〕,<H>גֹּויִ֥ם<h><H> <h>,1471,
57985,415431,415432,〔11566｜14｜18｜23〕,<H>לֶּ֑חִי<h><H> <h>,3895,
27709,218692,218693,〔18035｜23｜20｜5〕,<H>מַבָּטָ֔ם<h><H> <h>,4007,
28449,223232,223233,〔18303｜23｜33｜23〕,<H>תָּרְנָם֙<h><H> <h>,8650,
21653,170025,170026,〔8438｜10｜16｜11〕,<H>מֵּעַ֖י<h><H> <h>,4578,
37251,285907,285908,〔21521｜26｜40｜43〕,<H>שְׁפַתַּ֗יִם<h><H> <h>,8240,שׁפת
35982,278039,278040,〔21137｜26｜27｜15〕,<H>אֶשְׁכָּרֵֽךְ<h><H>׃ <h>,814,
12150,88407,88408,〔4640｜4｜29｜31〕,<H>תָּמִ֔יד<h><H> <h>,8548,
4826,40325,40326,〔2100｜2｜21｜22〕,<H>אִשָּׁ֤ה<h><H> <h>,802,אישׁ
21308,167518,167519,〔8336｜10｜13｜18〕,<H>כְּתֹ֣נֶת<h><H> <h>,3801,
17413,131971,131972,〔6715｜7｜7｜20〕,<H>לַּפִּדִ֔ים<h><H> <h>,3940,
3941,32679,32680,〔1729｜2｜8｜18〕,<H>חַרְטֻמִּ֧ים<h><H> <h>,2748,
45149,333328,333329,〔16142｜19｜130｜1〕,<H>מַּעֲלֹ֑ות<h><H> <h>,4609,
8706,63807,63808,〔3282｜3｜18｜30〕,<H>חֻקֹּ֤ות<h><H> <h>,2708,
4731,39707,39708,〔2059｜2｜20｜7〕,<H>שָּֽׁוְא<h><H>׃ פ <h>,7723,
555,3408,3409,〔178｜1｜7｜18〕,<H>תֵּבָ֖ה<h><H> <h>,8392,
45129,333202,333203,〔16128｜19｜128｜1〕,<H>מַּ֫עֲלֹ֥ות<h><H> <h>,4609,
36927,284010,284011,〔21437｜26｜38｜11〕,<H>פְּרָזֹ֔ות<h><H> <h>,6519,
30092,233994,233995,〔18901｜23｜65｜3〕,<H>תָּמִ֑יד<h><H> <h>,8548,
36933,284053,284054,〔21438｜26｜38｜12〕,<H>טַבּ֥וּר<h><H> <h>,2872,
46094,338949,338950,〔13124｜18｜11｜15〕,<H>מּ֑וּם<h><H> <h>,3971,
23819,186671,186672,〔9183｜11｜12｜31〕,<H>בָּמֹ֑ות<h><H> <h>,1116,
41574,313284,313285,〔14179｜19｜19｜10〕,<H>נֶּחֱמָדִ֗ים<h><H> <h>,2530,
26441,210285,210286,〔10181｜12｜23｜15〕,<H>בָּמָ֛ה<h><H> <h>,1116,
