,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
330197,330198,〔15778｜19｜109｜22〕,<H>קִרְבִּֽי<h><H>׃ <h>,7130,קרב
285907,285908,〔21521｜26｜40｜43〕,<H>שְׁפַתַּ֗יִם<h><H> <h>,8240,שׁפת
9297,9298,〔499｜1｜20｜3〕,<H>אִשָּׁ֣ה<h><H> <h>,802,אישׁ
261357,261358,〔20141｜24｜49｜13〕,<H>חֶרְפָּ֛ה<h><H> <h>,2781,חרפ
173134,173135,〔8557｜10｜20｜2〕,<H>מַלְכָּ֔ם<h><H> <h>,4428,מלכ
272163,272164,〔20826｜26｜16｜63〕,<H>כְּלִמָּתֵ֑ךְ<h><H> <h>,3639,כלמ
307863,307864,〔23020｜38｜10｜3〕,<H>מִּלְחָמָֽה<h><H>׃ <h>,4421,לחמ
61866,61867,〔3188｜3｜15｜19〕,<H>אִשָּׁה֙<h><H> <h>,802,אישׁ
378950,378951,〔12090｜15｜2｜62〕,<H>כְּהֻנָּֽה<h><H>׃ <h>,3550,כהנ
182736,182737,〔9016｜11｜8｜30〕,<H>מָּקֹ֣ום<h><H> <h>,4725,קומ
346004,346005,〔13854｜18｜39｜19〕,<H>סּ֣וּס<h><H> <h>,5483,סוס
52878,52879,〔2764｜3｜2｜1〕,<H>קָרְבַּ֤ן<h><H> <h>,7133,קרב
166619,166620,〔8297｜10｜12｜10〕,<H>אִשָּֽׁה<h><H>׃ ס <h>,802,אישׁ
5841,5842,〔318｜1｜12｜19〕,<H>אִשָּׁ֑ה<h><H> <h>,802,אישׁ
25387,25388,〔1356｜1｜44｜31〕,<H>עַבְדְּךָ֥<h><H> <h>,5650,עבד
419835,419836,〔11745｜14｜26｜12〕,<H>אַלְפַּ֖יִם<h><H> <h>,505,אלפ
157392,157393,〔7899｜9｜25｜37〕,<H>קִרְבֹּ֔ו<h><H> <h>,7130,קרב
164480,164481,〔8206｜10｜7｜25〕,<H>עַבְדְּךָ֙<h><H> <h>,5650,עבד
93823,93824,〔4944｜5｜2｜5〕,<H>יְרֻשָּׁ֣ה<h><H> <h>,3425,ירשׁ
119253,119254,〔6102｜6｜10｜37〕,<H>מַלְכָּ֨הּ<h><H> <h>,4428,מלכ
142011,142012,〔7236｜9｜1｜23〕,<H>אִשָּׁה֙<h><H> <h>,802,אישׁ
345079,345080,〔13757｜18｜36｜20〕,<H>לָּ֑יְלָה<h><H> <h>,3915,לול
226172,226173,〔18460｜23｜41｜8〕,<H>עַבְדִּ֔י<h><H> <h>,5650,עבד
36666,36667,〔1911｜2｜14｜21〕,<H>לַּ֔יְלָה<h><H> <h>,3915,לול
239223,239224,〔19166｜24｜8｜12〕,<H>פְּקֻדָּתָ֛ם<h><H> <h>,6486,פקד
340763,340764,〔13314｜18｜19｜16〕,<H>עַבְדִּ֣י<h><H> <h>,5650,עבד
401966,401967,〔10943｜13｜21｜8〕,<H>עַבְדְּךָ֔<h><H> <h>,5650,עבד
325960,325961,〔15351｜19｜89｜24〕,<H>חַסְדִּ֣י<h><H> <h>,2617,חסד
378978,378979,〔12092｜15｜2｜64〕,<H>אַלְפַּ֖יִם<h><H> <h>,505,אלפ
13099,13100,〔700｜1｜26｜7〕,<H>מָּקֹום֙<h><H> <h>,4725,קומ
90455,90456,〔4748｜4｜32｜29〕,<H>אֲחֻזָּֽה<h><H>׃ <h>,272,אחז
356900,356901,〔7181｜8｜3｜8〕,<H>לַּ֔יְלָה<h><H> <h>,3915,לול
150211,150212,〔7594｜9｜15｜33〕,<H>חַרְבֶּ֔ךָ<h><H> <h>,2719,חרב
207981,207982,〔10090｜12｜19｜28〕,<H>מִתְגִּי֙<h><H> <h>,4964,מתג
237852,237853,〔19101｜24｜6｜11〕,<H>אִשָּׁה֙<h><H> <h>,802,אישׁ
371588,371589,〔21808｜27｜2｜49〕,<H>מַלְכָּ֔א<h><H> <h>,4430,מלכ
11970,11971,〔636｜1｜24｜44〕,<H>אִשָּׁ֔ה<h><H> <h>,802,אישׁ
372901,372902,〔21865｜27｜4｜27〕,<H>מַלְכָּ֗א<h><H> <h>,4430,מלכ
408318,408319,〔11257｜14｜4｜10〕,<H>נֶֽגְבָּה<h><H>׃ <h>,5045,נגב
364363,364364,〔20352｜25｜2｜19〕,<QR><H>לַּ֗יְלָה<h><H> <h><qr>,3915,לול
370722,370723,〔21769｜27｜2｜10〕,<H>מַלְכָּא֙<h><H> <h>,4430,מלכ
333914,333915,〔16198｜19｜136｜1〕,<H>חַסְדֹּֽו<h><H>׃ <h>,2617,חסד
167414,167415,〔8331｜10｜13｜13〕,<H>חֶרְפָּתִ֔י<h><H> <h>,2781,חרפ
175056,175057,〔8667｜10｜23｜13〕,<H>שְּׁלֹשִׁ֣ים<h><H> <h>,7970,שׁלשׁ
348051,348052,〔16521｜20｜5｜3〕,<H>חִכָּֽהּ<h><H>׃ <h>,2441,חנכ
